Link,Title,Location,Summary
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47360730,독일외국계 철도차량사업부 Sales Admin [정규직/경력],서울중구,"영업관리, 영업지원, 기계판매, 기계설비 수정일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47384538,[존슨앤드존슨 메디칼] Invoice to Cash Accountant,서울용산구,"감사, 채권관리, 회계, 의료기기 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47256194,"영업관리/사무 / 매니저 (러시아어, 영어)",서울강남구,"경리, 경영지원, 국제무역사, 거래처납품, 매출관리 외 등록일 23/12/28"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47360934,[홈헬스케어] 의료장비 기술지원 엔지니어 (전북/전남/광주),광주광산구,"고객안내, 고객응대, 기계수리, 호텔, 의료기기 등록일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47062866,[외국계 한국에이치비플러] 접착제 관련 영업사원 경력직 채용,경기광명시,"영업, 기술영업, 화학, 화공, 폴리머 수정일 23/11/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47360920,[외국계] Customer Service Representative,서울강남구,"구매관리, 물류관리, 재고관리, 물류기획, SCM 외 수정일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47302347,외국계 플라스틱 제조기업 [Operation Manage/충북] 부장~이사급,충북보은군,"생산관리, 공장장, 플라스틱, 프라스틱제조, 사출·압출 등록일 24/01/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47335775,CEO(대표이사) 국내중견그룹 지주사,서울종로구,"CEO, 사업관리, 시장조사, 건설회사 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371306,외국계도장설비기업-Wet & Booth Engineer,서울구로구,"기술엔지니어, 설계엔지니어, 기계설계, 기구설계, 기술설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47363671,International Premium Services Manager,아시아·중동필리핀,"카지노, 호텔, 카지노 수정일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371230,외국계도장설비기업-신입 전기설계 엔지니어,서울구로구,"기술엔지니어, 설계엔지니어, 기술설계, 자동화설계, 전기설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47084928,[외국계 Business Development Lead,서울종로구,"경영기획, 브랜드기획, 사업기획, 전략기획, 경영분석 외 수정일 23/12/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47335478,[대전]미국계 의료기기 Sales Rep./MR,대전동구,"간호사, 방사선사, 의공기사, 의료기기영업, 장비영업 외 수정일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47377881,ㅣ제약 대기업ㅣ사업제휴 (주임-과장급),서울강남구,"사업제휴, 헤드헌팅 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47400159,외국계 반도체업체 연구소 Lab Operations Engineer,경기화성시,"디스플레이, 반도체, 반도체, LCD, 디스플레이 외 등록일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47068180,세포유전자치료제 분야의 기술평가 및 사업개발,경기성남시 수정구,"생명과학, 제약/바이오, 리서치, 사업개발, 의약·제약 외 수정일 23/11/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47363646,International Premium Executive Host,아시아·중동필리핀,"카지노, 호텔, 카지노 등록일 24/01/12"
